service_id,route_id,trip_id,direction_id,trip_headsign,block_id,shape_id
WK,BLUE,WK_159147,1,Nagole,WK_31701,BLUE2
WK,BLUE,WK_159152,1,Nagole,WK_34801,BLUE2
WK,BLUE,WK_159162,1,Nagole,WK_30501,BLUE2
WK,BLUE,WK_159164,1,Nagole,WK_31801,BLUE2
WK,BLUE,WK_159167,1,Nagole,WK_30401,BLUE2
WK,BLUE,WK_159170,1,Nagole,WK_30901,BLUE2
WK,BLUE,WK_159173,1,Nagole,WK_31001,BLUE2
WK,BLUE,WK_159175,1,Nagole,WK_34901,BLUE2
WK,BLUE,WK_159177,1,Nagole,WK_40701,BLUE2
WK,BLUE,WK_159179,1,Nagole,WK_31901,BLUE2
WK,BLUE,WK_159183,1,Nagole,WK_30101,BLUE2
WK,BLUE,WK_159185,1,Nagole,WK_31201,BLUE2
WK,BLUE,WK_159187,1,Nagole,WK_35001,BLUE2
WK,BLUE,WK_159188,1,Nagole,WK_30301,BLUE2
WK,BLUE,WK_159189,1,Nagole,WK_35101,BLUE2
WK,BLUE,WK_159198,1,Nagole,WK_30201,BLUE2
WK,BLUE,WK_159199,1,Nagole,WK_31301,BLUE2
WK,BLUE,WK_159200,1,Nagole,WK_32101,BLUE2
WK,BLUE,WK_159210,1,Nagole,WK_30501,BLUE2
WK,BLUE,WK_159213,1,Nagole,WK_31401,BLUE2
WK,BLUE,WK_159216,0,HITEC City,WK_401201,BLUE1
WK,BLUE,WK_159235,0,HITEC City,WK_401101,BLUE1
WK,BLUE,WK_159236,1,Nagole,WK_401101,BLUE2
WK,BLUE,WK_159240,1,Mettuguda,WK_401201,BLUE2
WK,BLUE,WK_159241,0,HITEC City,WK_401201,BLUE1
WK,BLUE,WK_159381,1,Nagole,WK_30601,BLUE2
WK,BLUE,WK_159408,1,Nagole,WK_30701,BLUE2
WK,BLUE,WK_159410,1,Nagole,WK_34701,BLUE2
WK,BLUE,WK_159432,0,Raidurg,WK_8601,BLUE1
WK,RED,WK_159479,0,L. B. Nagar,WK_11101,RED1
WK,RED,WK_159480,1,Miyapur,WK_11101,RED2
WK,RED,WK_159481,0,L. B. Nagar,WK_10101,RED1
WK,RED,WK_159482,1,Miyapur,WK_10101,RED2
WK,RED,WK_159483,0,L. B. Nagar,WK_11201,RED1
WK,RED,WK_159599,0,L. B. Nagar,WK_10201,RED1
WK,RED,WK_159600,1,Miyapur,WK_10201,RED2
WK,RED,WK_159601,0,L. B. Nagar,WK_11301,RED1
WK,RED,WK_159602,1,Miyapur,WK_11301,RED2
WK,RED,WK_159603,0,L. B. Nagar,WK_10301,RED1
WK,RED,WK_159604,1,Miyapur,WK_10301,RED2
WK,RED,WK_159605,0,L. B. Nagar,WK_11401,RED1
WK,RED,WK_159606,1,Miyapur,WK_11401,RED2
WK,RED,WK_159607,0,L. B. Nagar,WK_10401,RED1
WK,RED,WK_159608,1,Miyapur,WK_10401,RED2
WK,RED,WK_159609,0,L. B. Nagar,WK_11501,RED1
WK,RED,WK_159610,1,Miyapur,WK_11501,RED2
WK,RED,WK_159611,0,L. B. Nagar,WK_11601,RED1
WK,RED,WK_159612,1,Miyapur,WK_11601,RED2
WK,RED,WK_159613,0,L. B. Nagar,WK_10501,RED1
WK,RED,WK_159614,1,Miyapur,WK_10501,RED2
WK,RED,WK_159615,0,L. B. Nagar,WK_11701,RED1
WK,RED,WK_159616,1,Miyapur,WK_11701,RED2
WK,RED,WK_159617,0,L. B. Nagar,WK_10601,RED1
WK,RED,WK_159618,1,Miyapur,WK_10601,RED2
WK,RED,WK_159619,0,L. B. Nagar,WK_11801,RED1
WK,RED,WK_159620,1,Miyapur,WK_11801,RED2
WK,RED,WK_159621,0,L. B. Nagar,WK_10701,RED1
WK,RED,WK_159622,1,Miyapur,WK_10701,RED2
WK,RED,WK_159623,0,L. B. Nagar,WK_11901,RED1
WK,RED,WK_159624,1,Miyapur,WK_11901,RED2
WK,RED,WK_159625,0,L. B. Nagar,WK_12001,RED1
WK,RED,WK_159626,1,Miyapur,WK_12001,RED2
WK,RED,WK_159627,0,L. B. Nagar,WK_10801,RED1
WK,RED,WK_159628,1,Miyapur,WK_10801,RED2
WK,RED,WK_159629,0,L. B. Nagar,WK_12101,RED1
WK,RED,WK_159630,1,Miyapur,WK_12101,RED2
WK,RED,WK_159631,0,L. B. Nagar,WK_10901,RED1
WK,RED,WK_159632,1,Miyapur,WK_10901,RED2
WK,RED,WK_159633,0,L. B. Nagar,WK_12201,RED1
WK,RED,WK_159634,1,Miyapur,WK_12201,RED2
WK,RED,WK_159635,0,L. B. Nagar,WK_11001,RED1
WK,RED,WK_159636,1,Miyapur,WK_11001,RED2
WK,RED,WK_159637,0,L. B. Nagar,WK_12301,RED1
WK,RED,WK_159638,1,Miyapur,WK_12301,RED2
WK,RED,WK_159639,0,L. B. Nagar,WK_11101,RED1
WK,RED,WK_159640,1,Miyapur,WK_11101,RED2
WK,RED,WK_159641,0,L. B. Nagar,WK_10101,RED1
WK,RED,WK_159642,1,Miyapur,WK_10101,RED2
WK,RED,WK_159643,0,L. B. Nagar,WK_11201,RED1
WK,RED,WK_159644,1,Miyapur,WK_11201,RED2
WK,RED,WK_159645,0,L. B. Nagar,WK_10201,RED1
WK,RED,WK_159646,1,Miyapur,WK_10201,RED2
WK,RED,WK_159647,0,L. B. Nagar,WK_11301,RED1
WK,RED,WK_159648,1,Miyapur,WK_11301,RED2
WK,RED,WK_159649,0,L. B. Nagar,WK_10301,RED1
WK,RED,WK_159650,1,Miyapur,WK_10301,RED2
WK,RED,WK_159651,0,L. B. Nagar,WK_11401,RED1
WK,RED,WK_159652,1,Miyapur,WK_11401,RED2
WK,RED,WK_159653,0,L. B. Nagar,WK_10401,RED1
WK,RED,WK_159654,1,Miyapur,WK_10401,RED2
WK,RED,WK_159655,0,L. B. Nagar,WK_11501,RED1
WK,RED,WK_159656,1,Miyapur,WK_11501,RED2
WK,RED,WK_159657,0,L. B. Nagar,WK_11601,RED1
WK,RED,WK_159658,1,Miyapur,WK_11601,RED2
WK,RED,WK_159659,0,L. B. Nagar,WK_10501,RED1
WK,RED,WK_159660,1,Miyapur,WK_10501,RED2
WK,RED,WK_159661,0,L. B. Nagar,WK_11701,RED1
WK,RED,WK_159662,1,Miyapur,WK_11701,RED2
WK,RED,WK_159663,0,L. B. Nagar,WK_10601,RED1
WK,RED,WK_159664,1,Miyapur,WK_10601,RED2
WK,RED,WK_159665,0,L. B. Nagar,WK_11801,RED1
WK,RED,WK_159666,1,Miyapur,WK_11801,RED2
WK,RED,WK_159667,0,L. B. Nagar,WK_10701,RED1
WK,RED,WK_159668,1,Miyapur,WK_10701,RED2
WK,RED,WK_159669,0,L. B. Nagar,WK_11901,RED1
WK,RED,WK_159670,1,Miyapur,WK_11901,RED2
WK,RED,WK_159671,0,L. B. Nagar,WK_12001,RED1
WK,RED,WK_159672,1,Miyapur,WK_12001,RED2
WK,RED,WK_159673,0,L. B. Nagar,WK_10801,RED1
WK,RED,WK_159674,1,Miyapur,WK_10801,RED2
WK,RED,WK_159675,0,L. B. Nagar,WK_12101,RED1
WK,RED,WK_159676,1,Miyapur,WK_12101,RED2
WK,RED,WK_159677,0,L. B. Nagar,WK_10901,RED1
WK,RED,WK_159678,1,Miyapur,WK_10901,RED2
WK,RED,WK_159679,0,L. B. Nagar,WK_12201,RED1
WK,RED,WK_159680,1,Miyapur,WK_12201,RED2
WK,RED,WK_159681,0,L. B. Nagar,WK_11001,RED1
WK,RED,WK_159682,1,Miyapur,WK_11001,RED2
WK,RED,WK_159683,0,L. B. Nagar,WK_12301,RED1
WK,RED,WK_159684,1,Miyapur,WK_12301,RED2
WK,RED,WK_159685,0,L. B. Nagar,WK_11101,RED1
WK,RED,WK_159686,1,Miyapur,WK_11101,RED2
WK,RED,WK_159687,0,L. B. Nagar,WK_10101,RED1
WK,RED,WK_159688,1,Miyapur,WK_10101,RED2
WK,RED,WK_159689,0,L. B. Nagar,WK_11201,RED1
WK,RED,WK_159690,1,Miyapur,WK_11201,RED2
WK,RED,WK_159691,0,L. B. Nagar,WK_10201,RED1
WK,RED,WK_159692,1,Miyapur,WK_10201,RED2
WK,RED,WK_159693,0,L. B. Nagar,WK_11301,RED1
WK,RED,WK_159694,1,Miyapur,WK_11301,RED2
WK,RED,WK_159695,0,L. B. Nagar,WK_10301,RED1
WK,RED,WK_159696,1,Miyapur,WK_10301,RED2
WK,RED,WK_159697,0,L. B. Nagar,WK_11401,RED1
WK,RED,WK_159698,1,Miyapur,WK_11401,RED2
WK,RED,WK_159699,0,L. B. Nagar,WK_10401,RED1
WK,RED,WK_159700,1,Miyapur,WK_10401,RED2
WK,RED,WK_159727,1,Miyapur,WK_11201,RED2
WK,RED,WK_159772,0,L. B. Nagar,WK_12101,RED1
WK,RED,WK_159774,0,L. B. Nagar,WK_11001,RED1
WK,RED,WK_159776,0,L. B. Nagar,WK_12501,RED1
WK,RED,WK_159784,0,L. B. Nagar,WK_10101,RED1
WK,RED,WK_159787,1,Miyapur,WK_10701,RED2
WK,RED,WK_159789,0,L. B. Nagar,WK_10701,RED1
